"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年03月05日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A2101","A210101","A210102","A2102","A2201","A2301"
"調査年 コード","調査年","地域 コード","地域","/項目","A2101_住民基本台帳人口（日本人）【人】","A210101_住民基本台帳人口（日本人）（男）【人】","A210102_住民基本台帳人口（日本人）（女）【人】","A2102_行政区域内人口（住民基本台帳人口＋外国人登録人口）【人】","A2201_住民基本台帳人口（外国人）【人】","A2301_住民基本台帳人口（総数）【人】"
"2016100000","2016年度","02000","青森県","","1,319,349","625,344","694,005","***","4,512","1,323,861"
"2016100000","2016年度","03000","岩手県","","1,271,103","611,781","659,322","***","6,168","1,277,271"
"2016100000","2016年度","04000","宮城県","","2,300,472","1,122,993","1,177,479","***","18,966","2,319,438"
"2016100000","2016年度","05000","秋田県","","1,025,559","484,158","541,401","***","3,637","1,029,196"
"2016100000","2016年度","06000","山形県","","1,112,238","536,730","575,508","***","6,230","1,118,468"
"2016100000","2016年度","07000","福島県","","1,926,751","945,896","980,855","***","11,808","1,938,559"
"2016100000","2016年度","08000","茨城県","","2,903,615","1,452,718","1,450,897","***","56,843","2,960,458"
"2016100000","2016年度","09000","栃木県","","1,955,876","975,898","979,978","***","35,721","1,991,597"
"2016100000","2016年度","10000","群馬県","","1,949,754","964,658","985,096","***","48,521","1,998,275"
"2016100000","2016年度","11000","埼玉県","","7,194,582","3,607,908","3,586,674","***","149,225","7,343,807"
"2016100000","2016年度","12000","千葉県","","6,152,877","3,076,698","3,076,179","***","130,725","6,283,602"
"2016100000","2016年度","13000","東京都","","13,043,707","6,438,100","6,605,607","***","486,346","13,530,053"
"2016100000","2016年度","14000","神奈川県","","8,969,530","4,486,689","4,482,841","***","185,859","9,155,389"
"2016100000","2016年度","15000","新潟県","","2,286,482","1,110,534","1,175,948","***","14,441","2,300,923"
"2016100000","2016年度","16000","富山県","","1,059,931","513,356","546,575","***","14,774","1,074,705"
"2016100000","2016年度","17000","石川県","","1,141,345","552,027","589,318","***","12,282","1,153,627"
"2016100000","2016年度","18000","福井県","","782,230","380,235","401,995","***","12,203","794,433"
"2016100000","2016年度","19000","山梨県","","830,262","407,625","422,637","***","14,455","844,717"
"2016100000","2016年度","20000","長野県","","2,094,757","1,023,999","1,070,758","***","31,307","2,126,064"
"2016100000","2016年度","21000","岐阜県","","2,019,491","983,911","1,035,580","***","46,775","2,066,266"
"2016100000","2016年度","22000","静岡県","","3,680,266","1,818,590","1,861,676","***","76,599","3,756,865"
"2016100000","2016年度","23000","愛知県","","7,315,013","3,669,754","3,645,259","***","217,218","7,532,231"
"2016100000","2016年度","24000","三重県","","1,798,308","878,214","920,094","***","43,445","1,841,753"
"2016100000","2016年度","25000","滋賀県","","1,395,217","687,280","707,937","***","25,043","1,420,260"
"2016100000","2016年度","26000","京都府","","2,515,005","1,206,117","1,308,888","***","54,405","2,569,410"
"2016100000","2016年度","27000","大阪府","","8,646,380","4,181,256","4,465,124","***","215,057","8,861,437"
"2016100000","2016年度","28000","兵庫県","","5,506,465","2,641,778","2,864,687","***","100,080","5,606,545"
"2016100000","2016年度","29000","奈良県","","1,368,900","651,136","717,764","***","11,281","1,380,181"
"2016100000","2016年度","30000","和歌山県","","978,540","463,800","514,740","***","6,149","984,689"
"2016100000","2016年度","31000","鳥取県","","571,173","273,388","297,785","***","4,091","575,264"
"2016100000","2016年度","32000","島根県","","689,603","330,287","359,316","***","6,779","696,382"
"2016100000","2016年度","33000","岡山県","","1,903,779","918,810","984,969","***","23,853","1,927,632"
"2016100000","2016年度","34000","広島県","","2,812,091","1,363,226","1,448,865","***","45,384","2,857,475"
"2016100000","2016年度","35000","山口県","","1,394,042","661,347","732,695","***","14,546","1,408,588"
"2016100000","2016年度","36000","徳島県","","758,844","362,942","395,902","***","5,369","764,213"
"2016100000","2016年度","37000","香川県","","987,146","476,710","510,436","***","10,665","997,811"
"2016100000","2016年度","38000","愛媛県","","1,394,413","660,865","733,548","***","10,912","1,405,325"
"2016100000","2016年度","39000","高知県","","728,616","343,507","385,109","***","3,919","732,535"
"2016100000","2016年度","40000","福岡県","","5,062,176","2,403,681","2,658,495","***","64,213","5,126,389"
"2016100000","2016年度","41000","佐賀県","","832,834","395,107","437,727","***","5,143","837,977"
"2016100000","2016年度","42000","長崎県","","1,381,794","649,910","731,884","***","11,156","1,392,950"
"2016100000","2016年度","43000","熊本県","","1,786,651","846,266","940,385","***","11,498","1,798,149"
"2016100000","2016年度","44000","大分県","","1,165,898","553,771","612,127","***","10,993","1,176,891"
"2016100000","2016年度","45000","宮崎県","","1,114,552","527,448","587,104","***","4,992","1,119,544"
"2016100000","2016年度","46000","鹿児島県","","1,660,215","782,943","877,272","***","7,788","1,668,003"
"2016100000","2016年度","47000","沖縄県","","1,453,208","715,614","737,594","***","13,863","1,467,071"
"2015100000","2015年度","01000","北海道","","5,376,211","2,542,092","2,834,119","***","24,999","5,401,210"
"2015100000","2015年度","02000","青森県","","1,334,258","632,328","701,930","***","4,207","1,338,465"
"2015100000","2015年度","03000","岩手県","","1,283,607","617,460","666,147","***","5,863","1,289,470"
"2015100000","2015年度","04000","宮城県","","2,307,087","1,125,884","1,181,203","***","17,379","2,324,466"
"2015100000","2015年度","05000","秋田県","","1,039,436","490,553","548,883","***","3,579","1,043,015"
"2015100000","2015年度","06000","山形県","","1,123,509","541,886","581,623","***","6,051","1,129,560"
"2015100000","2015年度","07000","福島県","","1,942,854","952,874","989,980","***","10,845","1,953,699"
"2015100000","2015年度","08000","茨城県","","2,917,240","1,459,071","1,458,169","***","52,991","2,970,231"
"2015100000","2015年度","09000","栃木県","","1,965,319","980,190","985,129","***","33,545","1,998,864"
"2015100000","2015年度","10000","群馬県","","1,960,525","969,697","990,828","***","44,795","2,005,320"
"2015100000","2015年度","11000","埼玉県","","7,186,890","3,606,526","3,580,364","***","136,523","7,323,413"
"2015100000","2015年度","12000","千葉県","","6,145,670","3,075,014","3,070,656","***","120,229","6,265,899"
"2015100000","2015年度","13000","東京都","","12,966,307","6,404,646","6,561,661","***","449,042","13,415,349"
"2015100000","2015年度","14000","神奈川県","","8,961,724","4,485,968","4,475,756","***","174,427","9,136,151"
"2015100000","2015年度","15000","新潟県","","2,305,622","1,119,393","1,186,229","***","13,813","2,319,435"
"2015100000","2015年度","16000","富山県","","1,066,463","516,005","550,458","***","13,697","1,080,160"
"2015100000","2015年度","17000","石川県","","1,145,694","554,126","591,568","***","11,348","1,157,042"
"2015100000","2015年度","18000","福井県","","787,254","382,577","404,677","***","11,966","799,220"
"2015100000","2015年度","19000","山梨県","","836,015","410,254","425,761","***","13,769","849,784"
"2015100000","2015年度","20000","長野県","","2,107,214","1,029,689","1,077,525","***","30,452","2,137,666"
"2015100000","2015年度","21000","岐阜県","","2,032,055","990,072","1,041,983","***","44,140","2,076,195"
"2015100000","2015年度","22000","静岡県","","3,697,930","1,826,706","1,871,224","***","72,689","3,770,619"
"2015100000","2015年度","23000","愛知県","","7,307,924","3,665,634","3,642,290","***","201,712","7,509,636"
"2015100000","2015年度","24000","三重県","","1,808,398","882,842","925,556","***","41,630","1,850,028"
"2015100000","2015年度","25000","滋賀県","","1,396,024","687,781","708,243","***","23,839","1,419,863"
"2015100000","2015年度","26000","京都府","","2,521,866","1,210,053","1,311,813","***","52,976","2,574,842"
"2015100000","2015年度","27000","大阪府","","8,658,164","4,190,247","4,467,917","***","207,338","8,865,502"
"2015100000","2015年度","28000","兵庫県","","5,524,043","2,651,851","2,872,192","***","97,044","5,621,087"
"2015100000","2015年度","29000","奈良県","","1,376,964","655,329","721,635","***","10,854","1,387,818"
"2015100000","2015年度","30000","和歌山県","","988,335","468,435","519,900","***","5,982","994,317"
"2015100000","2015年度","31000","鳥取県","","575,418","275,331","300,087","***","3,891","579,309"
"2015100000","2015年度","32000","島根県","","695,113","332,557","362,556","***","6,281","701,394"
"2015100000","2015年度","33000","岡山県","","1,911,633","922,531","989,102","***","22,148","1,933,781"
"2015100000","2015年度","34000","広島県","","2,820,988","1,366,249","1,454,739","***","42,223","2,863,211"
"2015100000","2015年度","35000","山口県","","1,406,035","666,755","739,280","***","13,746","1,419,781"
"2015100000","2015年度","36000","徳島県","","765,106","365,724","399,382","***","4,951","770,057"
"2015100000","2015年度","37000","香川県","","992,511","479,039","513,472","***","9,662","1,002,173"
"2015100000","2015年度","38000","愛媛県","","1,405,873","666,123","739,750","***","10,124","1,415,997"
"2015100000","2015年度","39000","高知県","","736,391","347,111","389,280","***","3,668","740,059"
"2015100000","2015年度","40000","福岡県","","5,062,751","2,403,896","2,658,855","***","59,697","5,122,448"
"2015100000","2015年度","41000","佐賀県","","837,914","397,436","440,478","***","4,543","842,457"
"2015100000","2015年度","42000","長崎県","","1,393,539","654,916","738,623","***","10,564","1,404,103"
"2015100000","2015年度","43000","熊本県","","1,799,737","851,532","948,205","***","10,606","1,810,343"
"2015100000","2015年度","44000","大分県","","1,173,560","557,137","616,423","***","10,401","1,183,961"
"2015100000","2015年度","45000","宮崎県","","1,123,545","531,407","592,138","***","4,533","1,128,078"
"2015100000","2015年度","46000","鹿児島県","","1,672,370","788,119","884,251","***","7,132","1,679,502"
"2015100000","2015年度","47000","沖縄県","","1,448,656","713,398","735,258","***","12,575","1,461,231"
"2014100000","2014年度","01000","北海道","","5,408,756","2,558,545","2,850,211","***","22,902","5,431,658"
"2014100000","2014年度","02000","青森県","","1,349,355","639,617","709,738","***","3,981","1,353,336"
"2014100000","2014年度","03000","岩手県","","1,295,341","622,832","672,509","***","5,622","1,300,963"
"2014100000","2014年度","04000","宮城県","","2,312,179","1,128,025","1,184,154","***","15,954","2,328,133"
"2014100000","2014年度","05000","秋田県","","1,052,988","496,795","556,193","***","3,591","1,056,579"
"2014100000","2014年度","06000","山形県","","1,134,713","547,041","587,672","***","6,022","1,140,735"
"2014100000","2014年度","07000","福島県","","1,955,339","957,387","997,952","***","10,047","1,965,386"
"2014100000","2014年度","08000","茨城県","","2,931,112","1,465,874","1,465,238","***","50,661","2,981,773"
"2014100000","2014年度","09000","栃木県","","1,973,150","983,759","989,391","***","31,267","2,004,417"
"2014100000","2014年度","10000","群馬県","","1,969,892","973,994","995,898","***","42,311","2,012,203"
"2014100000","2014年度","11000","埼玉県","","7,178,177","3,604,205","3,573,972","***","126,719","7,304,896"
"2014100000","2014年度","12000","千葉県","","6,142,717","3,074,885","3,067,832","***","111,389","6,254,106"
"2014100000","2014年度","13000","東京都","","12,880,143","6,366,590","6,513,553","***","417,442","13,297,585"
"2014100000","2014年度","14000","神奈川県","","8,950,660","4,485,087","4,465,573","***","166,006","9,116,666"
"2014100000","2014年度","15000","新潟県","","2,324,312","1,128,198","1,196,114","***","13,173","2,337,485"
"2014100000","2014年度","16000","富山県","","1,072,631","518,737","553,894","***","13,079","1,085,710"
"2014100000","2014年度","17000","石川県","","1,149,097","555,360","593,737","***","10,666","1,159,763"
"2014100000","2014年度","18000","福井県","","792,166","384,795","407,371","***","11,339","803,505"
"2014100000","2014年度","19000","山梨県","","842,099","413,180","428,919","***","13,403","855,502"
"2014100000","2014年度","20000","長野県","","2,118,697","1,034,883","1,083,814","***","29,806","2,148,503"
"2014100000","2014年度","21000","岐阜県","","2,044,115","996,098","1,048,017","***","43,480","2,087,595"
"2014100000","2014年度","22000","静岡県","","3,714,790","1,834,688","1,880,102","***","71,316","3,786,106"
"2014100000","2014年度","23000","愛知県","","7,297,292","3,659,627","3,637,665","***","192,654","7,489,946"
"2014100000","2014年度","24000","三重県","","1,818,842","888,001","930,841","***","41,271","1,860,113"
"2014100000","2014年度","25000","滋賀県","","1,397,783","688,730","709,053","***","23,559","1,421,342"
"2014100000","2014年度","26000","京都府","","2,527,697","1,213,771","1,313,926","***","51,608","2,579,305"
"2014100000","2014年度","27000","大阪府","","8,667,415","4,198,857","4,468,558","***","201,455","8,868,870"
"2014100000","2014年度","28000","兵庫県","","5,543,171","2,662,316","2,880,855","***","95,167","5,638,338"
"2014100000","2014年度","29000","奈良県","","1,384,855","659,663","725,192","***","10,793","1,395,648"
"2014100000","2014年度","30000","和歌山県","","997,903","473,108","524,795","***","5,827","1,003,730"
"2014100000","2014年度","31000","鳥取県","","579,554","277,284","302,270","***","3,797","583,351"
"2014100000","2014年度","32000","島根県","","700,491","334,794","365,697","***","5,707","706,198"
"2014100000","2014年度","33000","岡山県","","1,918,637","925,895","992,742","***","21,085","1,939,722"
"2014100000","2014年度","34000","広島県","","2,829,993","1,370,083","1,459,910","***","39,166","2,869,159"
"2014100000","2014年度","35000","山口県","","1,418,451","672,279","746,172","***","13,089","1,431,540"
"2014100000","2014年度","36000","徳島県","","771,627","368,739","402,888","***","4,940","776,567"
"2014100000","2014年度","37000","香川県","","996,717","480,608","516,109","***","8,853","1,005,570"
"2014100000","2014年度","38000","愛媛県","","1,417,179","671,420","745,759","***","9,188","1,426,367"
"2014100000","2014年度","39000","高知県","","743,616","350,323","393,293","***","3,506","747,122"
"2014100000","2014年度","40000","福岡県","","5,063,272","2,403,949","2,659,323","***","56,925","5,120,197"
